Food,Protein,Fat,Carb,Fiber,Calories
Caramel Dip - Calorie Free - Walden Farms,0.45,0.27,1.98,0,12.1
Marshmallow Dip - Walden Farms,0.452,0.27,4.25,0,21.2
Gerber 2nd Organic (pouch) AppleBlueberriesSpinach,0.46,0.15,10.79,0,46.3
Beef bone marrow - roasted,0.47,90,0,0,811.9
Papaya - raw,0.47,0.26,9.12,1.7,40.7
Coleslaw_ homemade,0.48,47.44,2.6,0.92,439.3
Gerber 2nd Organic (pouch) Apple Carrots & Squash,0.48,0.14,11.27,0,48.3
Gerber 2nd Organic (pouch) Carrots Apple Mango,0.49,0.23,11.06,0,48.3
Gerber 2nd Organic (pouch) PearsPeachesStrawb,0.49,0.15,12.4,0,52.9
Gerber 2nd Organic (pouch) Pear Spinach,0.49,0.11,12.64,2.02,53.5
Vinegar_ Balsamic,0.49,0,17.03,0,70.1
Almond Milk - Elana's Pantry,0.5,1.3,0.2,0,14.5
Broth_ Chicken - Charlie Found website recipe,0.5,0.4,0.37,0,7.1
Barbecue Sauce_ Kraft - Hickory Smoke,0.5,0.3,36.1,0,149.1
Dill Pickle,0.5,0.3,1.41,1,10.3
Gerber Organic 2nd Pear Raspberry,0.5,0.3,13.4,0,58.3
Pear_ Asian - raw,0.5,0.23,7.05,3.6,32.3
Gerber Organic 2nd Apples Zuch Spinach Strawb,0.5,0.1,11.7,0,49.7
Sauce_ pepper or hot sauce,0.51,0.37,1.45,0.3,11.2
Beech-Nut Stage 1: Banana,0.51,0.01,20.35,1.77,83.5
Barbeque Sauce_ Original - Walden Farms,0.526,0.09,3.24,0,15.9
Gerber 2nd Organic (pouch) AppleZuchSpin&Strawb,0.53,0.13,10.4,0,44.9
Honeydew Melon,0.54,0.14,8.29,0.8,36.6
Pineapple - raw,0.54,0.12,11.72,1.4,50.1
Beech-Nut Stage 2: Sw Potato P/A Org DISC,0.55,0.39,15.85,0,69.1
Coconut Milk - cultured;Pass.Mango - So Delicious,0.58,4.117,10,0,79.4
Coconut Milk - cultured;Blueberry - So Delicious,0.58,3.53,12.94,0,85.8
Coconut Milk - cultured;PinaColada - So Delicious,0.58,3.53,11.76,0,81.1
Coconut Milk - cultured;Vanilla-So Delicious,0.58,3.53,11.76,0,81.1
Persimmon - raw,0.58,0.19,14.99,3.6,64
Coconut Milk - cultured;Raspberry - So Delicious,0.588,3.529,11.176,0,78.8
Coconut Milk - cultured;Strawberry-So Delicious,0.588,3.529,11.176,0,78.8
Gerber 3rd Squash,0.588,0.29,5.29,1.176,26.1
Beech-Nut Stage 2: Beets Pear Pomeg DISC,0.59,0.21,10.81,0,47.5
Cucumber_ peeled - raw,0.59,0.16,1.46,0.7,9.6
Hearts of Palm Pasta - Trader Joes,0.59,0,2.35,2.35,11.8
Sugar Free York Patties,0.6,12.2,49.9,0,311.8
Gerber 2nd Banana Carrot Mango,0.6,0.4,13.7,0,60.8
Gerber 2nd Apples & Mangos with Rice Cereal,0.6,0.3,17.6,0,75.5
Gerber 2nd Rice Cereal Apples & Mangos,0.6,0.3,17.6,0,75.5
Gerber 2nd Organic (pouch) Pears Zucch & Mangoes,0.6,0.14,11.51,0,49.7
Gerber Organic 2nd Pears Zuch Mangos,0.6,0.1,13.8,0,58.5
Radish_ daikon - raw,0.6,0.1,2.5,1.6,13.3
Prune juice,0.6,0,17.5,0,72.4
Watermelon - raw,0.61,0.15,7.15,0.4,32.4
Dill Pickle - Claussen Kosher (all cuts),0.62,0.19,2.92,0,15.9
Dill Pickle - Del Monte (wholes or halves),0.62,0.19,2.92,0,15.9
Heinz Beginner Sweet Potato/Debutant pataes sucree,0.62,0.156,10.9,0,47.5
Beech-Nut Stage 1: Butternut Squash,0.62,0.07,6.2,0.9,27.9
Vegetable Juice_ V-8_ 100%,0.63,0.09,3.75,0.8,18.3
Spread: Smart Balance Buttery-Original,0.64,63.9,0.48,0,579.6
Beech-Nut Stage 2: Corn Pineapple Pears DISC,0.64,0.44,14.17,0,63.2
Cucumber_ raw_ with peel,0.65,0.11,3.13,0.5,16.1
Fruit Naturals - Tropical Medley - Del Monte,0.65,0,14.1,0,59
Lemonaise - OjaiCook,0.66,80,1.66,0,729.3
Squash_ Spaghetti - cooked,0.66,0.26,5.06,1.4,25.2
Chobani_ Slightly Sweet DISCONTINED,0.67,6.67,5.33,2.67,84
Strawberries - raw,0.67,0.3,5.68,2,28.1
Squash_ Acorn - cooked,0.67,0.08,6.19,2.6,28.2
Orange juice - unsweetened,0.68,0.15,10.71,0.3,46.9
Radish - raw,0.68,0.1,1.8,1.6,10.8
Celery - raw,0.69,0.17,1.37,1.6,9.8
Bilberries - raw,0.7,0.5,8.7,2.8,42.1
Sponge gourd - raw,0.7,0.3,11.4,2.9,51.1
Plum_ raw,0.7,0.28,10.02,1.4,45.4
Gerber 2nd Apricots with Mixed Fruit,0.7,0.2,14.2,0,61.4
CCMC baby squash,0.7,0,7,0,30.8
Gerber 2nd Prunes w/ Apples,0.7,0,18.1,0,75.2
Gerber Stage 1 Bananas,0.7,0,19.9,1,82.4
Blueberries_ frozen unsweetend,0.71,0.64,10.67,2.9,51.3
Turnips - cooked,0.71,0.08,3.06,2,15.8
Turnips - cooked,0.71,0.08,3.06,0,15.8
Happy Baby Pear Zuch Peas pouch,0.71,0,10.63,1.77,45.4
Happy Baby Pears Mangos Spin pouch,0.71,0,11.5,1.77,48.8
Happy Baby Squash Pear Apric pouch,0.71,0,10.62,1.77,45.3
Happy Baby Sweet Potatoes_ Mangos_ Carrots pch,0.71,0,13.27,1.77,55.9
Grapes_ Green or Red (seedless),0.72,0.16,17.2,0.9,73.1
Jicama - raw,0.72,0.09,3.92,4.9,19.4
Gerber 3rd Lil'Bits_ Sweet Pot Apple Carrot Cinnam,0.72,0,14.09,2.11,59.2
Chocolate Syrup - Walden Farms,0.73,1.05,3.96,0,28.2
Barbecue Sauce - Kraft Original,0.74,0.62,38.9,0.4,164.1
Blueberries_ fresh,0.74,0.33,12.19,2.1,54.7
Banana_ ripe,0.74,0.29,19.5,1.7,83.6
Gerber 3rd Lil'Bits_ Carrots Corn Butternut Squash,0.75,0.75,8.45,2.11,43.5
Mandarine orange in 100%Fuit Juice - Dole,0.75,0.04,15.9,0,67
Carrots_ cooked,0.76,0.18,5.22,3,25.5
Grapefruit_ Pink and Red,0.77,0.14,9.06,1.6,40.6
Heinz Strained Organic Pears,0.78,0.23,10.9,0,48.8
Heinz Strained Organic Bananas,0.78,0.078,21,0,87.8
Heinz Strained Organic Carrots,0.78,0.078,6.25,0,28.8
Heinz Strained Mixed Fruit/Fruits melanges,0.78,0,16.4,0,68.7
Tomato_ canned in puree or tomato juice,0.79,0.25,1.84,1.9,12.8
Earth's Best: 2nd Apples Butternut Squash,0.796,0,10.6,0,45.6
Marinara Sauce - Rao's,0.8,6.4,3.2,0,73.6
Campbells cream of mushroom soup,0.8,5,7.5,0,78.2
Gerber 2nd Apple Berry Mixed Cereal,0.8,0.5,14.8,0,66.9
Earth's Best: 1st Carrots,0.8,0.2,5.63,0,27.5
Ketchup_ Organic - Publix Greenwise,0.8,0.2,23.5,0,99
Gerber Organic 2nd Pear Carrot Peas,0.8,0.1,14.4,0,61.7
Tomato_ Plum - raw,0.806,0.322,3.548,1.3,20.3
Mandarin orange (tangerine) - raw,0.81,0.31,11.54,1.8,52.2
Tangerine (mandarine orange),0.81,0.31,11.54,1.8,52.2
Leek (bulb & lower leaf) cooked,0.81,0.2,6.62,1,31.5
Mango - fresh (peeled) _ raw,0.82,0.38,13.38,1.6,60.2
Tomatoes_ Roma style diced Ital Herb-Contadina,0.82,0,8.197,0.82,36.1
Hemp Milk - Original_ unsweetened - Tempt,0.83,2.5,0.41,0,27.5
Almond Breeze - Chocolate unswtnd - BlueDiamond,0.83,1.45,0.83,0,19.7
Happy Tot App Swt Pot Carrots Cin Chia pouch,0.83,1.25,13.33,2.5,67.9
Eggplant_ cooked,0.83,0.23,6.23,2.5,30.3
Beech-Nut Stage 3: Sweet Pot Squash Peas DISC,0.83,0.12,15.88,2.5,67.9
Broth_ Beef - 100% fat free - Swanson,0.83,0,0.416,0,5
Olives_ black (small to extra large),0.84,10.68,3.06,3.2,111.7
Beech-Nut Stage 3: Spinach Zucc Quinoa DISC,0.84,2.27,2.98,0,35.7
Cantaloupe_ raw,0.84,0.19,7.26,0.9,34.1
Coconut Hemp Milk - Living Harvest,0.847,1.69,0.42,0,20.3
Butter,0.85,81.11,0.06,0,733.6
Yogurt_ vanilla - CocoYo,0.85,6.78,5.1,0,84.8
Beech-Nut Stage 2: Corn Apple Squash DISC,0.86,0.38,13.48,0,60.8
Peppers_ green - raw,0.86,0.17,2.94,1.7,16.7
Gerber 2nd Organic (pouch) Pears Carrots & Peas,0.86,0.16,12.46,0,54.7
Tomato_ Cherry - raw,0.872,0.33,3.55,1.2,20.7
Noodles_ Tofu Shirataki Spag shaped noodle sub,0.88,0.44,0.88,0,11
HF Shirataki Noodles,0.88,0.4,2.64,0,17.7
Tomato_ Raw,0.88,0.2,2.69,1.2,16.1
Gerber 2nd Mixed Vegetables,0.88,0.1,7.96,0,36.3
Beech-Nut Stage 2: Sweet Potato,0.88,0,13.27,2.65,56.6
Earth's Best: 2nd Apples & Banana,0.88,0,11.5,0,49.5
Pasta Zero/Nasoya all noodles,0.88,0,3.52,0,17.6
Spaghetti Shirataki_Pasta Zero Plus - Nasoya,0.88,0,0.88,0,7
Cheddar Jack dairy free - So Delicious,0.886,25.835,18.649,2.731,310.7
Happy Baby Carrots Straw Chickpeas pouch,0.89,0.89,11.5,0,57.6
Gerber 2nd Green Beans,0.89,0.12,3.54,1.77,18.8
Gerber Organic 2nd Green Beans,0.89,0.12,3.54,1.77,18.8
Gerber 2nd Banana Blackberry Blueberry,0.89,0,19.47,0.89,81.4
Gerber 2nd Carrot Sweet Potato Peas,0.89,0,7.97,0.9,35.4
Happy Baby Bananas & Strawb jar,0.89,0,18.6,0.89,78
Happy Baby Pears Kale Spinach pouch,0.89,0,9.74,2.67,42.5
Happy Baby Pears Squash Blackberries pouch,0.89,0,11.5,2.66,49.6
Happy Baby Sweet Potatoes jar,0.89,0,10.62,1.77,46
Happy Baby Sweet Potatoes_ Papaya pouch,0.89,0,17.71,0.89,74.4
Margarine_ stick Corn,0.9,80.5,0.9,0,731.7
Fleishmann's Unsalted Margarine,0.9,78.57,0.9,0,714.3
Mayo - Real Mayonnaise - Kraft,0.9,76.9,3,0,707.7
Beech-Nut Stage 1: Carrots,0.9,0.22,7.08,2.65,33.9
Gerber 2nd Butternut Squash,0.9,0.2,8.04,0.9,37.6
Gerber 2nd Carrots,0.9,0.2,9.5,0,43.4
Gerber Organic 2nd Carrots,0.9,0.2,9.5,0,43.4
Rhubarb_ raw or frozen - unsweetened,0.9,0.2,2.74,1.8,16.4
Lettuce_ Iceburg,0.9,0.14,1.77,1.2,11.9
Sauerkraut_ Trad.Old World - Bubbies,0.9,0.14,1.38,2.9,10.4
Cereal_ Cream of Rice - cooked,0.9,0.1,11.3,0.1,49.7
Gerber 2nd Bananas w/Apples & Pears,0.9,0.1,19.7,0,83.3
Satsuma - raw,0.9,0.1,7,0,32.5
Turnips - raw,0.9,0.1,4.63,1.8,23
Squash_ Butternut - cooked,0.9,0.095,7.29,3.2,33.6
Acai_ unsweetened - Trader Joes,0.91,7.1,1.01,3.03,71.6
Pepper_ Jalapeno - raw,0.91,0.37,3.7,2.8,21.8
Peach - raw with skin,0.91,0.25,8.04,1.5,38
Orange_ Navel,0.91,0.15,10.34,2.2,46.4
Sauerkraut,0.91,0.14,1.38,2.9,10.4
Gerber 2nd Organic (pouch) Banana Squash,0.91,0.1,18.81,0,79.8
Peppers_ green - cooked,0.92,0.2,5.5,1.2,27.5
Carrots_ raw,0.93,0.24,6.78,2.8,33
Rutabaga - cooked in unsalted water_ drained,0.93,0.18,5.04,1.8,25.5
Peppers_ sweet red (frozen) - cooked,0.95,0.18,2.51,0.8,15.5
Tomatillos - raw,0.96,1.02,3.94,1.9,28.8
Prunes_ dried - unsweetened - Discontinued,0.96,0.16,24.98,3.1,105.2
Celery Root_ (Celeriac) - cooked,0.96,0.019,4.7,1.2,22.8
Onions - Green_ tops only,0.97,0.47,3.94,1.8,23.9
Eggplant_ raw,0.98,0.18,2.88,3,17.1
Peppers_ sweet red - raw,0.99,0.3,3.93,2.1,22.4
Gerber 2nd Organic (pouch) Carrots Zucchini Brocco,0.99,0.18,4.75,0,24.6
Salad Dressing_ Ranch - Newman's Own,1,46.7,6.67,0,451
Coconut cream_ organic premium-NativeFrst,1,20,2.7,0,194.8
Coconut Milk_ organic simple - NativeFrst,1,17.5,2.5,0,171.5
Tartar Sauce - Kraft,1,14.5,12.9,0,186.1
Acai_ organic unsweetened - Sambazon,1,5,1,4,53
Gerber Organic 2nd Butternut Squash & Corn,1,0.7,10.1,0,50.7
Gerber 2nd Peaches,1,0.4,15.5,0,69.6
Banana_ green - raw,1,0.3,14.17,2.9,63.4
Cherries_ sour - raw,1,0.3,10.58,1.6,49
Peppers_ sweet yellow - raw,1,0.21,5.42,0.9,27.6
Gerber 2nd Banana Mixed Berries,1,0.2,20.3,0,87
Gerber 2nd Banana Plum Grape,1,0.2,22.1,0,94.2
Gerber 2nd Banana,1,0.1,21.8,0,92.1
Gerber 2nd Banana Orange Medley,1,0.1,21.5,0,90.9
Gerber 2nd Bananas,1,0.1,21.8,0,92.1
Pumpkin - raw,1,0.1,6,0.5,28.9
Squash_ Butternut - raw,1,0.1,9.69,2,43.7
10%Fruit,1,0,10,1,44
Group A Vegetable,1,0,3.5,1.25,18
Pasta Zero Fettuccine,1,0,3.6,0,18.4
Peppers_ orange - raw,1,0,3,2,16
Mayonnaise - Wasabi - Trader Joes,1.01,78.5,2.6,0,720.9
Mayonnaise - Organic - Trader Joes,1.01,78,2.7,0,716.8
Olives_ green (canned or bottled),1.03,15.32,0.54,3.3,144.2
Milk_ human breast milk_ mature_ fluid,1.03,4.38,6.89,0,71.1
Breast milk - human (mature),1.03,4.38,6.89,0,71.1
Squash_ Pattypan or Scallop - cooked,1.03,0.17,1.4,1.9,11.3
Blueberry Chia Jam - Recipe in Standard Snack,1.04,1.78,11,0,64.2
Starfruit (Carambola) - raw,1.04,0.33,3.93,2.8,22.9
Sea buckthorn berries - raw,1.05,4.2,6.22,2.9,66.9
Nectarine,1.06,0.32,8.85,1.7,42.5
Cherries_ sweet - raw,1.06,0.2,13.91,2.1,61.7
Canned pumkin,1.07,0.25,8.11,0,39
Soup_ Squash Curry (Recipe in Std Meals),1.08,13.16,5.71,2.75,145.6
Rutabaga - raw,1.08,0.16,6.32,2.3,31
Mayonnaise_ bio - Delhaize,1.1,83.1,1.6,0,758.7
Mayonnaise - Safflower - Hain,1.1,79.7,2.7,0,732.5
Mayonnaise - Spectrum Organic,1.1,78.6,3.5,0,725.8
Tomato Sauce_ Newman's Own Tom & Rst Garlic,1.1,2,8.47,1.5,56.3
Gerber 2nd Blended Fruits with Oatmeal,1.1,0.5,15.3,0,70.1
carrot juice,1.1,0.3,4.76,0,26.1
Lemon - raw w/o peel & seeds,1.1,0.3,6.52,0,33.2
Pimentos - canned,1.1,0.3,3.2,1.9,19.9
Pumpkin_ canned - unsweetened,1.1,0.28,5.19,2.9,27.7
Onions - raw,1.1,0.1,7.64,1.7,35.9
Coconut Milk 100% - AROY-D,1.11,18.89,2.22,0,183.3
Gerber 2nd Organic (pouch) Banana Mango,1.11,0.15,20.21,0,86.6
Jell-O Sugar-fr/LowCalorie prepared all flvrs Kraf,1.12,0,1.7,0,11.3
Kefir Cream_ Lemon Sky - SlowPokes,1.14,17.95,2.57,0,176.4
Kefir Spread Plain - SlowPokes,1.14,17.95,2.57,0,176.4
Kiwi Fruit_ fresh,1.14,0.52,11.66,3,55.9
Zucchini_ fresh with skin - cooked,1.14,0.36,1.69,1,14.6
Turnip greens_ cooked,1.14,0.23,0.86,3.5,10.1
Zucchini_ with skin frozen - cooked,1.15,0.13,2.26,1.3,14.8
Coconut Milk - Cultured/Greek_ Vanilla - So Delici,1.17,2.64,11.17,4.7,73.1
So Delicious Van Bean Frozen dessert,1.176,9.4,21.1,11.76,173.7
Coconut Milk - cultured;Chocolate - So Delicious,1.176,3.529,14.7,0,95.3
Gerber 3rd Sweet Potatoes,1.176,0.2,12.35,1.176,55.9
Gerber 3rd Bananas,1.176,0,20.5,1.176,86.7
Zucchini veggie spirals-green giant,1.176,0,1.176,1,9.4
Coconut Milk_ Unsweetened_ Thai Kitchen,1.18,18,2.52,0,176.8
Gerber 3rd Apple & Cinnamon w/ Oatmeal,1.18,0.59,12.94,1.18,61.8
Blackberries_ frozen - unsweetened,1.18,0.43,10.67,5,51.3
Peppers_ Sweet_ Mini - Baily Farms,1.18,0,5.88,3.53,28.2
Propofol solution - generic,1.2,10,2.25,0,103.8
Mac. Cookie,1.2,7.6,0.7,0,76
Raspberries_ raw or frozen - unsweetened,1.2,0.65,5.44,6.5,32.4
Gerber 2nd Oatmeal Pears & Cinnamon,1.2,0.5,16.4,0,74.9
Squash_ Pattypan or Scallop - raw,1.2,0.2,2.64,1.2,17.2
Squash_ Summer Yellow - raw,1.2,0.2,2.64,0,17.2
Gerber 2nd Sweet Potatoes,1.2,0,15.4,0,66.4
Gerber Organic 2nd Sweet Potatoes,1.2,0,15.4,0,66.4
Tomato Sauce (Basil/Gar/Oreg) Hunts 8oz,1.2,0,4.8,1.5,24
Zucchini_ with skin - raw,1.21,0.32,2.11,1,16.2
Lettuce_ Romaine,1.23,0.3,1.19,2.1,12.4
Fennel bulb_ raw,1.24,0.2,4.2,3.1,23.6
coconut milk_ unsweetened organic Native Foreset,1.25,18,2.5,0,177
Gravy - paleo style (Recipe in Standard Meals),1.25,7.26,2.83,0.4,81.7
Milked Walnuts unsweetened - Elmhurst,1.25,4.59,0.42,0,48
Endive,1.25,0.2,0.25,3.1,7.8
Prune juice - Sunsweet,1.25,0,16.25,1.25,70
Cabbage_ Green - cooked,1.27,0.06,3.61,1.9,20.1
Gravy_ homemade (Standard Turkey Dinner),1.28,56.46,1.24,1.09,518.2
Cabbage_ Green - raw,1.28,0.1,3.3,2.5,19.2
Mayonnaise - Duke's Real,1.283,85.7,0.47,0,778.3
Tobasco Sauce - pepper sauce - McILHENNY CO,1.29,0.76,0.2,0.6,12.8
Icing -20gm40%Cream + 10gm melted coconut oil,1.3,58.9,1.76,0,542.3
Salad Dressing_ Hidden Valley Ranch - Original,1.3,43.4,3.33,0,409.1
Gerber Organic 2nd Farmers Mkt Veg Mixed Grains,1.3,0.7,10.1,0,51.9
Plantain - raw,1.3,0.37,29.59,2.3,126.9
Tomato Sauce_ Contadina Roma style - canned,1.31,0.18,3.6,1.6,21.3
Parsnips - cooked,1.32,0.3,13.41,3.6,61.6
Formula: Enfamil Infant - reconstituted,1.33,3.53,7.53,0,67.2
Saskatoon berries - raw,1.33,0.49,12.59,5.9,60.1
Lettuce_ red leaf - raw,1.33,0.22,1.36,0.9,12.7
Lettuce_ Butterhead,1.35,0.22,1.13,1.1,11.9
Chili Powder BBQ Sauce-KetoCook pg113,1.36,0.3,3.49,0,22.1
Cassava - raw,1.36,0.28,36.26,1.8,153
Lettuce_ green leaf - raw,1.36,0.15,1.57,1.3,13.1
Salad Dressing_ WishBone Ch Blue Cheese,1.37,39.3,7.14,0,387.7
Courgette_ raw - Australia,1.37,0.2,3.79,1.2,22.4
Sweet Potatoes - cooked,1.37,0.14,15.22,2.5,67.6
Formula: Similac organic+ pro Advance,1.39,3.8,7.02,0,67.8
Beech-Nut Stage 3: Corn Black Bns & Avo DISC,1.39,0.65,10.92,0,55.1
Currants_ black - raw,1.4,0.41,11.38,4,54.8
Apricot - raw,1.4,0.39,9.12,2,45.6
Currants_ raw (red or white),1.4,0.2,9.5,4.3,45.4
Gerber Organic 2nd Pumpkin Banana Carrots,1.4,0.2,14.8,0,66.6
Super Greens - Organic Girl,1.41,0,2.11,1.41,14.1
Avocado ice-cream - recipe in Standard Snacks,1.42,19.5,2.45,2.4,191
Tartar Sauce_ Hellmans/Best Foods,1.43,25,14.28,0,287.8
Blackberries - raw,1.43,0.36,5.93,5,32.7
Cabbage_ Red - raw,1.43,0.16,5.27,2.1,28.2
Soup: Condensed Tomato - Campbells,1.46,0.44,14.12,1.1,66.3
Yam - cooked,1.49,0.14,23.58,3.9,101.5
Cream_ Double - Gippsland Dairy Austrailia,1.5,56.9,1.9,0,525.7
Celery Root_ (Celeriac) - raw,1.5,0.3,7.4,1.8,38.3
Leek (bulb & lower leaf) raw,1.5,0.3,12.35,1.8,58.1
Lemon peel_ raw,1.5,0.3,5.4,10.6,30.3
Cabbage_ Chinese (pak-choi) raw,1.5,0.2,1.18,1,12.5
Beech-Nut Stage 1: Sugar Snap Peas - DISC,1.5,0.01,2.5,0,16.1
15% Fruit,1.5,0,15,1.5,66
Coconut milk_ organic (can) - 365WholeFoods,1.53,18.46,3.08,0,184.6
Gelatin_ Jell-O sugarfree_ prepared OLD version-Kr,1.53,0.002,0.56,0,8.4
Heinz Strained Organic Squash,1.56,0.23,7.03,0,36.4
Cabbage_ Chinese (pak choi) cooked,1.56,0.16,0.78,1,10.8
Heinz Strained Organic Sweet Potatoes,1.56,0.078,12.5,0,56.9
Heinz Strained Banana-Mandarin Orange,1.56,0,17.9,0,77.8
Potato_ sweet - raw,1.57,0.5,17.12,3,79.3
Basil Pesto_ dairy-free (recipe in Standard Snacks,1.59,53,1.87,1.19,490.8
Tomato Sauce_ Newman's Own_Rst Garlic_ Rd & Gr Ppr,1.6,2,5.6,1.6,46.8
Pork bone broth - homemade,1.6,1.2,0.4,0,18.8
Tomato Sauce_ Muir Glen Org. - canned,1.6,0.8,8,1.6,45.6
Pudding powder Kraft FatFr/SugarFr_ Inst.Vanilla,1.6,0.1,85.14,0,347.9
Ragu Classic Alfredo sauce,1.639,16.39,4.9,0,173.7
Barszcz_ Red,1.65,1.32,23.76,0,113.5
Tomato puree_ Contadina canned,1.65,0.21,7.08,1.9,36.8
Beech-Nut Stage 2: Peas & Spin DISC,1.66,0,6.66,5,33.3
Coconut Cream (can) - Earth's Choice,1.67,21.67,3.33,0,215
Happy Tot Pear Mango Spinach Chia pouch,1.67,1.25,11.67,2.5,64.6
Pomegranate - raw,1.67,1.17,14.7,4,76
Broth/Stock_ chicken organic - Pacific,1.67,0,0,0,6.7
Happy Tot Banana Peach Mango Chia pouch,1.68,1.256,16.67,2.5,84.7
Mayonnaise - Vegenaise Original - FollowYrHeart,1.7,66.71,3.36,0,620.6
Mayonnaise - Vegenaise Soy Free - FollowYrHeart,1.7,64.28,3.4,0,598.9
Cocojune pure coconut,1.7,15.8,3.5,1.7,163
Pomegranate seeds - raw,1.7,1.2,14.7,4,76.4
Kohlrabi - raw,1.7,0.1,2.6,3.6,18.1
Olives_ Kalamata (pitted) - Pearls,1.71,30,6.66,0,303.5
Grits_ white_ regular and quick - cooked,1.71,0.46,13.96,0.8,66.8
Potato_ boiled without skin,1.71,0.1,18.21,1.8,80.6
Bamboo shoots - canned drained,1.72,0.4,1.82,1.4,17.8
Fennel bulb_ cooked,1.75,0.34,5.02,2.8,30.1
Gerber 3rd Broccoli & Carrots w/Cheese,1.76,0.88,7.05,1.176,43.2
Gerber 2nd Sweet Pot Turkey WholeGrain,1.77,2.69,10.69,0.89,74.1
Gerber 2nd Chicken Noodle,1.77,2.21,7.96,0.88,58.8
Gerber 2nd Vegetable Chicken,1.77,1.77,7.52,0.44,53.1
Gerber 2nd Vanilla Cust Pudding w/Banana,1.77,1.33,19.91,0.44,98.7
Beech-Nut Stage 2: Sweet Corn & Green Beans,1.77,0.88,7.96,1.77,46.8
Beech-Nut Stage 2: Butternut Squash Sweet Corn,1.77,0.44,11.5,1.77,57
Happy Baby Zuch Apples Peas Quinoa Basl pouch,1.77,0.44,10.62,1.77,53.5
Beech-Nut Stage 2: Spinach Zucchini Peas,1.77,0.32,4.42,1.77,27.6
Beech-Nut Stage 1: Green Beans,1.77,0.2,3.54,1.77,23
Beech-Nut Stage 1: Sweet Potatoes,1.77,0.12,13.27,2.65,61.2
Gerber 2nd Hawaiian Del. Juice Fruit Blnd,1.77,0,24.8,0,106.3
Gerber 2nd Pea Carrot Spinach,1.77,0,4.43,1.77,24.8
Happy Baby Grn Beans Spin Pears pouch,1.77,0,6.2,2.66,31.9
Guacamole - homemade,1.78,17.4,2.52,5.68,173.8
Garden Veggie Straws - SensiblePortions,1.786,25,60.71,1.785,475
Green beans_ frozen state,1.79,0.21,4.94,2.6,28.8
Barbeque Sauce_ Texas Bold & Spicy - Heinz,1.8,1.8,25.7,2.86,126.2
Gerber 2nd Garden Vegetable,1.8,0.2,6.9,0,36.6
Swiss Chard - raw,1.8,0.2,2.14,1.6,17.6
Kohlrabi - cooked,1.8,0.11,5.59,1.1,30.5
Ginger root - raw,1.82,0.75,15.77,2,77.1
Beans_ green - raw,1.83,0.22,4.27,2.7,26.4
Green beans - raw,1.83,0.22,4.27,2.7,26.4
Onions_ spring or scallions (tops and bulb) - raw,1.83,0.19,4.74,2.6,28
Cauliflower_ cooked,1.84,0.45,1.81,2.3,18.6
Cereal_ Cream of Wheat Quick - cooked,1.84,0.24,12.48,0.6,59.4
Formula: Alimentum (prepared 20 Kcal/oz)Similac,1.85,3.74,6.89,0,68.6
Gerber 2nd Organic (pouch) Gr Beans & Sw Corn,1.85,0.63,6.13,0,37.6
Mushrooms_ canned,1.87,0.29,2.69,2.4,20.9
Okra - cooked,1.87,0.21,2.01,2.5,17.4
Swiss Chard - cooked,1.88,0.08,2.03,2.1,16.4
Green Beans_ raw - cooked,1.89,0.28,4.68,3.2,28.8
Potatoes - red_ raw with skin,1.89,0.14,14.2,1.7,65.6
Kale_ curly (Scotch) - boiled without salt,1.9,0.41,4.43,1.2,29
Kale - (non-curly variety) cooked,1.9,0.4,3.63,2,25.7
Cauliflower_ raw,1.92,0.28,2.97,2,22.1
Beef stock - homemade from bones,1.92,0.09,1.2,0,13.3
Okra - raw,1.93,0.19,4.25,3.2,26.4
Cream_ 40%,1.95,40.34,2.63,0,381.4
Avocado_ California or Mexico (Hass),1.96,15.41,1.84,6.8,153.9
Caramel Sauce (recipe in Standard Snacks),1.97,85.7,2.5,0,789.2
Cream_ 38%,1.98,38,2.82,0,361.2
Green beans_ frozen - cooked,1.98,0.41,3.58,3.4,25.9
Cream_ 36%,2,36,3,0,344
Cream_ 30%,2,30.67,2.67,0,294.7
mushrooms_ cooked with water only,2,2.2,5.16,0,48.4
Jell-O SF Pudding,2,1.5,13.8,0,76.7
Chocolate Chocolate Chip cookie mix,2,1,3,0,29
Beets_ cooked,2,0.18,5,2,29.6
Cabbage_ Savoy - raw,2,0.01,3,3.1,20.1
Jerusalem artichoke - raw,2,0.01,15.84,1.6,71.4
Carb Control Applesauce snack cake( 1/12 peice of,2,0,4,0,24
Group B Vegetable,2,0,7,2.5,36
Homemade ketchup Nourish book,2,0,9.3,0,45.2
Potato_ sweet - baked,2.01,0.15,17.41,3.3,79
Cauliflower mash (Standard Turkey Dinner),2.05,15.78,3.94,2.16,166
Sour Cream - cultured (not low-fat),2.07,19.73,2.88,0,197.4
Flax Milk Protein Pus unsweetened - Good Karma,2.08,1.04,0.8,0,20.9
Cereal_ Oatmeal - cooked with water - instant,2.08,0.47,11.29,0,57.7
Lemon aioli - Homemade (Recipe in Snacks),2.09,74.99,2.3,0.19,692.5
Formula: Similac NeoSure (liquid) Abbott,2.09,4.1,7.53,0,75.4
GV Coconut Bliss nondairy dessert,2.1,14.7,18.9,0,216.3
Gerber 3rd Dinner_Veg Stew - DISCONTINUED,2.1,1.8,11,0,68.6
Potato_ baked with skin,2.1,1.5,18.98,2.1,97.8
